import time: self [us] | cumulative | imported package
import time:       160 |        160 |                               anyio.abc._resources
import time:       191 |        191 |                                 anyio._core._typedattr
import time:       547 |        547 |                                   anyio.abc._tasks
import time:      1044 |       1590 |                                 anyio.abc._streams
import time:       680 |       2460 |                               anyio.abc._sockets
import time:       198 |        198 |                               anyio.abc._subprocesses
import time:       163 |        163 |                               anyio.abc._testing
import time:      1539 |       1539 |                                 anyio.lowlevel
import time:       301 |        301 |                                 anyio._core._tasks
import time:       194 |        194 |                                 anyio._core._testing
import time:      3718 |       5751 |                               anyio._core._synchronization
import time:       936 |        936 |                               anyio.from_thread
import time:       370 |      10499 |                             anyio.abc
import time:       179 |      10677 |                           anyio.to_thread
import time:      1036 |      11713 |                         anyio._core._fileio
import time:       144 |        144 |                         anyio._core._resources
import time:       120 |        120 |                         anyio._core._signals
import time:       130 |        130 |                             anyio.streams
import time:      1117 |       1247 |                           anyio.streams.stapled
import time:      1150 |       1150 |                           anyio.streams.tls
import time:       442 |       2838 |                         anyio._core._sockets
import time:      2022 |       2022 |                           anyio.streams.memory
import time:       219 |       2240 |                         anyio._core._streams
import time:       199 |        199 |                         anyio._core._subprocesses
import time:       483 |        483 |                         anyio._core._tempfile
import time:       495 |      18913 |                       anyio
import time:       193 |      19106 |                     openai._utils._sync
import time:       227 |        227 |                     openai._utils._proxy
import time:       177 |        177 |                     openai._utils._typing
import time:      1338 |       1338 |                     openai._utils._streams
import time:       178 |        178 |                       openai._files
import time:       299 |        476 |                     openai._utils._transform
import time:       135 |        135 |                     openai._utils._reflection
import time:       257 |      57409 |                   openai._utils
import time:       168 |        168 |                   openai._constants
import time:       186 |        186 |                   pydantic._internal._serializers
import time:      6685 |     136375 |                 openai._models
import time:       587 |        587 |                 openai.types.batch_error
import time:       169 |        169 |                     openai.types.shared.metadata
import time:       190 |        190 |                       openai.types.shared.reasoning_effort
import time:       533 |        722 |                     openai.types.shared.reasoning
import time:       193 |        193 |                       openai.types.shared.chat_model
import time:       205 |        397 |                     openai.types.shared.all_models
import time:       451 |        451 |                     openai.types.shared.error_object
import time:       450 |        450 |                       openai.types.shared.comparison_filter
import time:       462 |        911 |                     openai.types.shared.compound_filter
import time:       177 |        177 |                     openai.types.shared.responses_model
import time:       105 |        105 |                       openai.types.shared.function_parameters
import time:       619 |        724 |                     openai.types.shared.function_definition
import time:       392 |        392 |                     openai.types.shared.response_format_text
